batch_idx,sample_idx,pred_angle,gt_angle,abs_error,global_idx,max_prob,entropy,prediction_variance,peak_sharpness,local_concentration,is_actual_failure,predicted_failure
1,0,47.0,41.0,6.0,4,0.0428572930395603,4.018376350402832,5.941298877587542e-05,1.0193105936050415,0.6380437612533569,0,1
1,2,44.0,41.0,3.0,6,0.0399437546730041,4.041799545288086,5.6279888667631894e-05,1.026716232299805,0.6228501200675964,0,1
2,0,44.0,41.0,3.0,8,0.0461375899612903,3.955399513244629,6.506398494821042e-05,1.0171531438827517,0.671726405620575,0,1
5,3,41.0,41.0,0.0,23,0.0440430529415607,3.8917076587677,6.719706289004534e-05,1.0177372694015503,0.6879725456237793,0,1
6,3,44.0,41.0,3.0,27,0.0443234033882617,3.97245454788208,6.355202640406787e-05,1.0013766288757324,0.6652956604957581,0,1
9,1,44.0,41.0,3.0,37,0.0428504794836044,3.9814934730529785,6.198084156494588e-05,1.0265556573867798,0.6570021510124207,0,1
16,3,44.0,41.0,3.0,67,0.0438944436609745,3.928853988647461,6.531401595566422e-05,1.0118584632873535,0.677353024482727,0,1
17,3,86.0,180.0,94.0,71,0.0129269398748874,5.110889434814453,1.4160863429424351e-05,1.0172317028045654,0.2560298442840576,1,1
18,0,183.0,180.0,3.0,72,0.0485764779150486,3.9233040809631343,6.694561307085678e-05,1.0253760814666748,0.6745696067810059,0,1
19,0,0.0,180.0,180.0,76,0.0397950634360313,4.329770565032959,4.740207441500388e-05,1.0284185409545898,0.4611297249794006,1,1
19,3,184.0,180.0,4.0,79,0.0449160635471344,3.910804748535156,6.62019447190687e-05,1.0597248077392578,0.679929256439209,0,1
20,1,0.0,180.0,180.0,81,0.0403991565108299,4.301210403442383,4.610808173310943e-05,1.1660417318344116,0.55424964427948,1,1
20,3,61.0,180.0,119.0,83,0.0123325921595096,4.987259864807129,1.4934388673282228e-05,1.0219841003417969,0.2435521185398101,1,1
21,0,56.0,180.0,124.0,84,0.0167131815105676,4.83998966217041,1.9696166418725625e-05,1.0102413892745972,0.321550965309143,1,1
21,2,49.0,180.0,131.0,86,0.0159575343132019,4.882028579711914,1.8463511878508143e-05,1.0007857084274292,0.2972966730594635,1,1
21,3,191.0,180.0,11.0,87,0.0356898754835128,4.343588829040527,4.6696248318767175e-05,1.0436279773712158,0.5717758536338806,0,1
22,0,3.0,180.0,177.0,88,0.0115582672879099,5.392091751098633,7.94067182141589e-06,1.0367447137832642,0.1895771920680999,1,1
22,1,45.0,180.0,135.0,89,0.0447124503552913,3.8952698707580566,6.728228618158028e-05,1.0070135593414309,0.690045177936554,1,1
22,2,86.0,180.0,94.0,90,0.0073319519869983,5.516401290893555,4.336045094532892e-06,1.0462965965270996,0.1326029896736145,1,1
23,1,0.0,180.0,180.0,93,0.018125208094716,5.158816337585449,1.4536936760123352e-05,1.050790309906006,0.3032908141613006,1,1
24,0,9.0,180.0,171.0,96,0.0243377871811389,4.62653923034668,3.00773299386492e-05,1.0925168991088867,0.4206114411354065,1,1
24,1,81.0,180.0,99.0,97,0.0249952040612697,4.6468706130981445,3.138063766527921e-05,1.0265790224075315,0.4429395198822021,1,1
24,2,31.0,180.0,149.0,98,0.0154153564944863,4.925516128540039,1.8726677808444947e-05,1.0118507146835327,0.2908295691013336,1,1
24,3,84.0,180.0,96.0,99,0.0129294535145163,5.239466667175293,1.1869281479448546e-05,1.0080682039260864,0.2427738308906555,1,1
25,0,179.0,180.0,1.0,100,0.0343303382396698,4.218400001525879,4.666851964429952e-05,1.0149226188659668,0.5574225783348083,0,1
25,1,12.0,180.0,168.0,101,0.0371783003211021,4.0660080909729,5.66163107578177e-05,1.035281777381897,0.6144775152206421,1,1
25,2,141.0,180.0,39.0,102,0.014728051610291,4.895877361297607,1.9183427866664715e-05,1.0231361389160156,0.2121269702911377,1,1
25,3,23.0,180.0,157.0,103,0.0324638970196247,4.035496234893799,5.161923400009982e-05,1.026792287826538,0.5717847347259521,1,1
26,0,184.0,180.0,4.0,104,0.0150191308930516,5.158603191375732,1.3714231499761809e-05,1.0090959072113037,0.266559362411499,0,1
