idx,filename,fs,n_channels,n_samples,gt_angle_deg,srp_angle_deg,abs_err_deg,status
0,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0069.wav,16000,9,41136,41.44058697629461,136.5,95.05941302370536,ok
1,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0287.wav,16000,9,48656,41.4405869762946,315.5,85.94058697629458,ok
2,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0039.wav,16000,9,65056,41.44058697629461,112.5,71.05941302370539,ok
3,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0228.wav,16000,9,41120,41.44058697629461,179.5,138.05941302370536,ok
4,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0201.wav,16000,9,46784,41.44058697629461,135.5,94.05941302370536,ok
5,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0172.wav,16000,9,63120,41.44058697629461,135.5,94.05941302370536,ok
6,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0288.wav,16000,9,27792,41.44058697629462,24.000000000000004,17.44058697629461,ok
7,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0060.wav,16000,9,72016,41.44058697629461,270.0,131.44058697629464,ok
8,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0242.wav,16000,9,31616,41.44058697629463,224.99999999999997,176.44058697629464,ok
9,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0191.wav,16000,9,53152,41.44058697629462,135.5,94.05941302370536,ok
10,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0071.wav,16000,9,43152,41.44058697629461,178.5,137.05941302370536,ok
11,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0219.wav,16000,9,48656,41.44058697629461,0.5,40.94058697629461,ok
12,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0156.wav,16000,9,74608,41.44058697629461,226.0,175.44058697629464,ok
13,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0151.wav,16000,9,45776,41.44058697629461,180.49999999999997,139.05941302370536,ok
14,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0229.wav,16000,9,32128,41.44058697629463,90.0,48.55941302370536,ok
15,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0170.wav,16000,9,77296,41.44058697629461,291.0,110.44058697629464,ok
16,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0021.wav,16000,9,67664,41.44058697629461,68.0,26.55941302370539,ok
17,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0161.wav,16000,9,54624,41.44058697629461,268.5,132.94058697629464,ok
18,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0026.wav,16000,9,62432,41.44058697629462,314.0,87.44058697629464,ok
19,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0110.wav,16000,9,36048,41.44058697629463,112.5,71.05941302370536,ok
20,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0131.wav,16000,9,41568,41.44058697629461,0.5,40.94058697629461,ok
21,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0163.wav,16000,9,54032,41.44058697629461,110.0,68.55941302370539,ok
22,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0202.wav,16000,9,72736,41.44058697629461,112.0,70.55941302370539,ok
23,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0230.wav,16000,9,44016,41.44058697629461,0.0,41.44058697629461,ok
24,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0296.wav,16000,9,39392,41.44058697629462,315.0,86.44058697629464,ok
25,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0152.wav,16000,9,45472,41.44058697629461,224.99999999999997,176.44058697629464,ok
26,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0203.wav,16000,9,59104,41.44058697629461,225.5,175.94058697629464,ok
27,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0301.wav,16000,9,29088,41.44058697629462,110.5,69.05941302370539,ok
28,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0055.wav,16000,9,58240,41.44058697629461,315.0,86.44058697629464,ok
29,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0261.wav,16000,9,73280,41.44058697629461,204.99999999999997,163.55941302370536,ok
30,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0084.wav,16000,9,59984,41.44058697629461,180.0,138.55941302370536,ok
31,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0153.wav,16000,9,76656,41.44058697629461,24.000000000000004,17.44058697629461,ok
32,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0297.wav,16000,9,50304,41.44058697629462,270.0,131.44058697629464,ok
33,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0180.wav,16000,9,40928,41.44058697629461,292.5,108.94058697629464,ok
34,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0280.wav,16000,9,35472,41.44058697629463,180.49999999999997,139.05941302370536,ok
35,test/ma_noisy_speech/OfficeRoom2/static/P0006/TEST_S_OFR2_P0006_P0006W0214.wav,16000,9,60720,41.44058697629461,135.0,93.55941302370536,ok
