batch_idx,sample_idx,pred_angle,gt_angle,abs_error,global_idx,max_prob,entropy,prediction_variance,peak_sharpness,local_concentration
0,0,39.0,41.0,2.0,0,0.044593535363674164,3.940476179122925,6.551562546519563e-05,1.0020506381988525,0.6790679693222046
0,1,46.0,41.0,5.0,1,0.06479521095752716,3.611145257949829,9.667281847214326e-05,1.0124130249023438,0.7914366722106934
0,2,46.0,41.0,5.0,2,0.06703130155801773,3.5596346855163574,0.00010041452333098277,1.066871166229248,0.8105905055999756
0,3,48.0,41.0,7.0,3,0.054712362587451935,3.798205852508545,7.864531653467566e-05,1.0131067037582397,0.7292319536209106
1,0,53.0,41.0,12.0,4,0.03308224305510521,4.235082626342773,4.6075991122052073e-05,1.0418981313705444,0.5573346614837646
1,1,48.0,41.0,7.0,5,0.07861940562725067,3.372133731842041,0.00012420647544786334,1.0025385618209839,0.8667879104614258
1,2,37.0,41.0,4.0,6,0.03511036932468414,4.251445770263672,4.661672574002296e-05,1.0337203741073608,0.5645686388015747
1,3,46.0,41.0,5.0,7,0.07903631031513214,3.4176416397094727,0.00011989178165094927,1.0708822011947632,0.8498390316963196
2,0,46.0,41.0,5.0,8,0.04594568908214569,4.014066219329834,6.275095802266151e-05,1.025899887084961,0.654799222946167
2,1,48.0,41.0,7.0,9,0.06665773689746857,3.5623579025268555,0.00010162256512558088,1.0127395391464233,0.8116329312324524
2,2,46.0,41.0,5.0,10,0.059890929609537125,3.7405037879943848,8.482716657454148e-05,1.0550060272216797,0.7524290084838867
2,3,46.0,41.0,5.0,11,0.06246405839920044,3.65230393409729,9.242344094673172e-05,1.019344687461853,0.7802854776382446
3,0,46.0,41.0,5.0,12,0.08612686395645142,3.29510498046875,0.0001356006832793355,1.0150644779205322,0.8824032545089722
3,1,45.0,41.0,4.0,13,0.05931974947452545,3.694539785385132,8.885745774023235e-05,1.0040273666381836,0.7691908478736877
3,2,45.0,41.0,4.0,14,0.04813661053776741,3.959458112716675,6.680484511889517e-05,1.0019590854644775,0.6754875183105469
3,3,46.0,41.0,5.0,15,0.09330123662948608,3.2251710891723633,0.0001482034713262692,1.0312471389770508,0.8939339518547058
4,0,46.0,41.0,5.0,16,0.08413489162921906,3.3093395233154297,0.00013371156819630414,1.0147156715393066,0.8775319457054138
4,1,46.0,41.0,5.0,17,0.07366453856229782,3.5052201747894287,0.00010932565783150494,1.0548099279403687,0.8241302967071533
4,2,46.0,41.0,5.0,18,0.07800838351249695,3.430297613143921,0.00011735086445696652,1.073157787322998,0.8471325635910034
4,3,44.0,41.0,3.0,19,0.051751427352428436,3.8706138134002686,7.337835995713249e-05,1.020853877067566,0.7091259956359863
5,0,48.0,41.0,7.0,20,0.05198913812637329,3.830821990966797,7.533994357800111e-05,1.0036128759384155,0.7158730030059814
5,1,48.0,41.0,7.0,21,0.05910236015915871,3.6746950149536133,8.856043132254854e-05,1.0009300708770752,0.772844672203064
5,2,46.0,41.0,5.0,22,0.08254031836986542,3.35512638092041,0.00012756795331370085,1.059250831604004,0.8687065839767456
5,3,43.0,41.0,2.0,23,0.050222717225551605,3.833714246749878,7.435079896822572e-05,1.0055406093597412,0.717321515083313
6,0,48.0,41.0,7.0,24,0.049139611423015594,3.8812873363494873,7.053656736388803e-05,1.0079525709152222,0.6984933614730835
6,1,46.0,41.0,5.0,25,0.06170178949832916,3.7095465660095215,8.775074093136936e-05,1.071370005607605,0.7637333273887634
6,2,48.0,41.0,7.0,26,0.07467339932918549,3.4465885162353516,0.00011565448949113488,1.002173662185669,0.8453941345214844
6,3,41.0,41.0,0.0,27,0.03807555139064789,4.148287773132324,5.2466515626292676e-05,1.0321547985076904,0.6005585789680481
7,0,44.0,41.0,3.0,28,0.06714557856321335,3.543619394302368,0.00010395709978183731,1.0015621185302734,0.8183811902999878
7,1,46.0,41.0,5.0,29,0.07070043683052063,3.4675590991973877,0.00011070309847127646,1.0221467018127441,0.8379660844802856
7,2,46.0,41.0,5.0,30,0.07521971315145493,3.4539694786071777,0.00011431504390202463,1.0529732704162598,0.8416610360145569
7,3,46.0,41.0,5.0,31,0.0798865407705307,3.336036205291748,0.00012850097846239805,1.0109891891479492,0.8712960481643677
8,0,49.0,41.0,8.0,32,0.05784864351153374,3.696340560913086,8.614764374215156e-05,1.027843952178955,0.7687857151031494
8,1,46.0,41.0,5.0,33,0.05434408038854599,3.82318115234375,7.654014916624874e-05,1.0455693006515503,0.7225190997123718
8,2,46.0,41.0,5.0,34,0.04796413704752922,3.9329686164855957,6.826770550105721e-05,1.0013288259506226,0.6829962134361267
8,3,48.0,41.0,7.0,35,0.07718157023191452,3.399580478668213,0.00012194278679089621,1.000813603401184,0.8577252626419067
9,0,45.0,41.0,4.0,36,0.049469999969005585,3.918433427810669,6.90453452989459e-05,1.0305147171020508,0.6886776089668274
9,1,48.0,41.0,7.0,37,0.03962944447994232,4.083514213562012,5.5744465498719364e-05,1.023915410041809,0.6154159903526306
9,2,44.0,41.0,3.0,38,0.052043452858924866,3.8589067459106445,7.394212298095226e-05,1.0155495405197144,0.7104524374008179
9,3,43.0,41.0,2.0,39,0.05402573570609093,3.763960599899292,8.075359801296145e-05,1.0091992616653442,0.7451465129852295
10,0,46.0,41.0,5.0,40,0.08195527642965317,3.34800386428833,0.00012842089927289635,1.0389788150787354,0.8685457110404968
10,1,46.0,41.0,5.0,41,0.07485978305339813,3.461313247680664,0.00011399782670196146,1.058720350265503,0.8391633629798889
10,2,49.0,41.0,8.0,42,0.06449459493160248,3.5618391036987305,9.932024113368243e-05,1.0099331140518188,0.8165854215621948
10,3,46.0,41.0,5.0,43,0.054267242550849915,3.822098970413208,7.656350499019027e-05,1.0617729425430298,0.7227095365524292
11,0,46.0,41.0,5.0,44,0.08376411348581314,3.312987804412842,0.00013309100177139044,1.0216435194015503,0.8744605779647827
11,1,43.0,41.0,2.0,45,0.05004540830850601,3.844463348388672,7.321514567593113e-05,1.0200284719467163,0.7128304243087769
11,2,46.0,41.0,5.0,46,0.062022656202316284,3.6784048080444336,8.991211507236585e-05,1.0309414863586426,0.7715479135513306
11,3,48.0,41.0,7.0,47,0.05866609886288643,3.695988893508911,8.731268462724984e-05,1.010494351387024,0.7659200429916382
12,0,46.0,41.0,5.0,48,0.07747993618249893,3.405719757080078,0.00012029360368615016,1.037811040878296,0.8524723052978516
12,1,48.0,41.0,7.0,49,0.07076798379421234,3.4828896522521973,0.00010896375169977546,1.046666145324707,0.8360416889190674
12,2,48.0,41.0,7.0,50,0.06697507947683334,3.5230467319488525,0.00010352247045375407,1.0186342000961304,0.8220423460006714
12,3,48.0,41.0,7.0,51,0.07526125013828278,3.4034812450408936,0.00011893470218637958,1.0157166719436646,0.8593004941940308
13,0,46.0,41.0,5.0,52,0.0757431760430336,3.4254636764526367,0.00011757791799027473,1.022309422492981,0.8459005951881409
13,1,48.0,41.0,7.0,53,0.08786560595035553,3.2599239349365234,0.00014044970157556236,1.0409927368164062,0.8925837278366089
13,2,44.0,41.0,3.0,54,0.051780570298433304,3.827469825744629,7.5789364927914e-05,1.0106499195098877,0.7223310470581055
13,3,46.0,41.0,5.0,55,0.07868976891040802,3.4159913063049316,0.00012032047379761934,1.0361833572387695,0.8467190265655518
14,0,49.0,41.0,8.0,56,0.06358293443918228,3.611248016357422,9.531171235721558e-05,1.005000114440918,0.7971385717391968
14,1,46.0,41.0,5.0,57,0.07102791965007782,3.496328830718994,0.00010812385880853981,1.0456703901290894,0.8284006118774414
14,2,46.0,41.0,5.0,58,0.05488082766532898,3.8152647018432617,7.808476948412135e-05,1.0061779022216797,0.7260082960128784
14,3,49.0,41.0,8.0,59,0.06276969611644745,3.53933048248291,0.00010051676508737728,1.0255435705184937,0.8215258121490479
15,0,46.0,41.0,5.0,60,0.08256909996271133,3.3577866554260254,0.00012758153025060892,1.04488205909729,0.8654302358627319
15,1,49.0,41.0,8.0,61,0.05374864116311073,3.7974934577941895,7.837008161004633e-05,1.0002681016921997,0.7276216745376587
15,2,48.0,41.0,7.0,62,0.07020727545022964,3.4868438243865967,0.00010911687422776595,1.019251823425293,0.83502197265625
15,3,48.0,41.0,7.0,63,0.058481037616729736,3.7186365127563477,8.577781409258023e-05,1.0108526945114136,0.7550122737884521
16,0,46.0,41.0,5.0,64,0.07260239124298096,3.4331936836242676,0.00011500628897920251,1.0039806365966797,0.8414041996002197
16,1,46.0,41.0,5.0,65,0.05950303375720978,3.730372190475464,8.491066546412185e-05,1.0692822933197021,0.7558126449584961
16,2,48.0,41.0,7.0,66,0.05671468377113342,3.7551512718200684,8.270342368632555e-05,1.0039551258087158,0.7441442012786865
16,3,49.0,41.0,8.0,67,0.04047404229640961,4.043449878692627,5.698904351447709e-05,1.0293645858764648,0.6291492581367493
17,0,45.0,41.0,4.0,68,0.04626297578215599,3.996978998184204,6.376812234520912e-05,1.0240882635116577,0.661512017250061
17,1,49.0,41.0,8.0,69,0.06680496037006378,3.5095386505126953,0.00010499147174414247,1.0071852207183838,0.8316003084182739
17,2,48.0,41.0,7.0,70,0.06340774893760681,3.618112087249756,9.46295476751402e-05,1.027469515800476,0.7920308709144592
17,3,179.0,180.0,1.0,71,0.07452750205993652,3.413123369216919,0.00012132117262808606,1.0309524536132812,0.8539783358573914
18,0,179.0,180.0,1.0,72,0.05926975607872009,3.7216196060180664,8.869658631738275e-05,1.007649302482605,0.7588996291160583
18,1,182.0,180.0,2.0,73,0.047619715332984924,3.9898436069488525,6.424405728466809e-05,1.0059767961502075,0.6643836498260498
18,2,179.0,180.0,1.0,74,0.07858654856681824,3.3385720252990723,0.00013084332749713212,1.0274935960769653,0.8723721504211426
18,3,181.0,180.0,1.0,75,0.0711638331413269,3.5634727478027344,0.00010433566785650328,1.0418846607208252,0.8108365535736084
19,0,179.0,180.0,1.0,76,0.06162364408373833,3.6643612384796143,9.295793279306963e-05,1.0318371057510376,0.7806792259216309
19,1,179.0,180.0,1.0,77,0.07904569059610367,3.3380565643310547,0.00013097353803459555,1.0357203483581543,0.8704891800880432
19,2,181.0,180.0,1.0,78,0.05566113069653511,3.810333490371704,7.901236676843837e-05,1.000188946723938,0.7288187146186829
19,3,181.0,180.0,1.0,79,0.08031569421291351,3.297426223754883,0.0001356315187877044,1.0114436149597168,0.8840000033378601
20,0,179.0,180.0,1.0,80,0.0756726861000061,3.378124237060547,0.0001249719935003668,1.048823356628418,0.8623256087303162
20,1,179.0,180.0,1.0,81,0.0836806520819664,3.2765002250671387,0.00013899091572966427,1.0279390811920166,0.8866931200027466
20,2,177.0,180.0,3.0,82,0.08526986837387085,3.3907132148742676,0.00012783291458617896,1.050508737564087,0.8487346768379211
20,3,179.0,180.0,1.0,83,0.08077448606491089,3.313103199005127,0.00013444562500808388,1.005739450454712,0.8771907091140747
21,0,177.0,180.0,3.0,84,0.06220180541276932,3.8440418243408203,7.848058885429054e-05,1.0747382640838623,0.7059570550918579
21,1,179.0,180.0,1.0,85,0.07992918789386749,3.3151073455810547,0.00013343286991585046,1.029797911643982,0.8780103921890259
21,2,181.0,180.0,1.0,86,0.04469340294599533,4.043030261993408,6.097712321206927e-05,1.0044903755187988,0.6444236636161804
21,3,181.0,180.0,1.0,87,0.06689668446779251,3.602480173110962,9.963945194613189e-05,1.0439053773880005,0.7977981567382812
22,0,181.0,180.0,1.0,88,0.041406288743019104,4.133212089538574,5.511753261089325e-05,1.0143160820007324,0.6115972995758057
22,1,171.0,180.0,9.0,89,0.021602613851428032,4.4614577293396,2.9883087336202152e-05,1.0274574756622314,0.3928579092025757
22,2,177.0,180.0,3.0,90,0.08388286828994751,3.3435587882995605,0.000131622698972933,1.0356284379959106,0.8621178269386292
22,3,181.0,180.0,1.0,91,0.0746852308511734,3.4076766967773438,0.00012121193867642432,1.0295532941818237,0.8543396592140198
23,0,177.0,180.0,3.0,92,0.09566764533519745,3.3009815216064453,0.00014195706171449274,1.0158686637878418,0.8717852830886841
23,1,181.0,180.0,1.0,93,0.07064063102006912,3.459219455718994,0.00011496248771436512,1.013329029083252,0.8396379947662354
23,2,177.0,180.0,3.0,94,0.07909021526575089,3.3641395568847656,0.00012906429765280336,1.0112515687942505,0.8483377695083618
23,3,181.0,180.0,1.0,95,0.06085842847824097,3.761915683746338,8.397513738600537e-05,1.0013110637664795,0.7441444396972656
24,0,182.0,180.0,2.0,96,0.062117259949445724,3.655007839202881,9.24944833968766e-05,1.0221132040023804,0.7783499360084534
24,1,181.0,180.0,1.0,97,0.08524076640605927,3.3063673973083496,0.00013564071559812874,1.0187677145004272,0.8815972805023193
24,2,185.0,180.0,5.0,98,0.032657209783792496,4.205876350402832,4.7646684834035113e-05,1.024638295173645,0.566670298576355
24,3,181.0,180.0,1.0,99,0.046989429742097855,4.040760040283203,6.110688264016062e-05,1.0393896102905273,0.646305501461029
25,0,176.0,180.0,4.0,100,0.043896667659282684,4.114325523376465,5.385069380281493e-05,1.064855933189392,0.5990828275680542
25,1,179.0,180.0,1.0,101,0.04640129953622818,3.980928897857666,6.48559580440633e-05,1.0014535188674927,0.6662818193435669
25,2,179.0,180.0,1.0,102,0.0372183658182621,4.2470550537109375,4.7356024879263714e-05,1.0365009307861328,0.5580912828445435
25,3,179.0,180.0,1.0,103,0.07617709040641785,3.426441192626953,0.00012090242671547458,1.006752371788025,0.8496423959732056
26,0,176.0,180.0,4.0,104,0.042618874460458755,4.184626579284668,5.160758155398071e-05,1.0398091077804565,0.5772546529769897
26,1,182.0,180.0,2.0,105,0.07223858684301376,3.615750789642334,9.985941142076626e-05,1.0591672658920288,0.7906922101974487
26,2,181.0,180.0,1.0,106,0.08115968853235245,3.275655746459961,0.00013815032434649765,1.0328471660614014,0.8898259997367859
26,3,181.0,180.0,1.0,107,0.06044703349471092,3.7096548080444336,8.878760127117857e-05,1.0023952722549438,0.7639377117156982
27,0,179.0,180.0,1.0,108,0.07654900848865509,3.3827593326568604,0.00012572843115776777,1.0007603168487549,0.861720085144043
27,1,182.0,180.0,2.0,109,0.07616715878248215,3.490701913833618,0.00011307634849799797,1.0040041208267212,0.8290117979049683
27,2,181.0,180.0,1.0,110,0.05121659114956856,3.9542124271392822,6.720153032802045e-05,1.005247712135315,0.6745264530181885
